Favwon,Prior,Market,Bet,Kelly,Month,Numberofsets,Wrank,Lrank,Markettotal
0,0.532045651,-0.159517281,1,0,1,3,8,35,0.691562932
1,0.505550131,-0.046204449,0,0,1,3,82,102,0.55175458
0,0.652453776,-0.085444689,1,0,1,3,14,125,0.737898465
0,0.781038272,-0.072204049,1,0,1,3,5,74,0.853242321
1,0.622121288,-0.000854042,0,0.046769949,1,3,23,54,0.62297533
1,0.635606787,-0.008225302,0,0.037445701,1,3,35,51,0.643832089
1,0.622857523,0.010562642,1,0.076098578,1,3,32,40,0.612294881
1,0.535794299,-0.157494664,1,0.153928987,1,3,37,82,0.693288963
0,0.530862619,-0.066580325,1,0.022662698,1,3,23,31,0.597442944
0,0.61419737,-0.031213757,0,0,1,3,32,125,0.645411127
1,0.591491083,-0.027397393,0,0,1,3,35,37,0.618888476
1,0.631487954,-0.016768237,0,0.008594018,1,3,35,125,0.648256191
1,0.871888853,-0.108887922,1,0.045179105,1,5,6,154,0.980776775
1,0.888165575,-0.090691121,1,0.024760464,1,5,2,126,0.978856695
1,0.757532837,-0.214284461,1,0.14816517,1,5,8,254,0.971817298
1,0.808481363,-0.159010897,1,0.084975542,1,5,14,122,0.96749226
1,0.51576759,-0.235773069,1,0.272578126,1,5,82,131,0.751540658
1,0.592370248,-0.236954681,1,0.221011252,1,5,26,74,0.82932493
0,0.524047966,-0.360907786,1,0.421107649,1,5,43,95,0.884955752
0,0.598453847,-0.197978137,1,0,1,5,20,86,0.796431985
1,0.516485616,-0.218484251,1,0.253481053,1,5,35,78,0.734969866
1,0.728256333,-0.074311885,1,0,1,5,66,277,0.802568218
1,0.577076952,-0.21733042,1,0.207600359,1,5,41,76,0.794407372
1,0.610643745,-0.150738926,1,0.11176755,1,5,29,65,0.761382671
0,0.610565791,-0.189434209,1,0,1,5,105,110,0.8
1,0.515393649,-0.207254132,1,0.240239045,1,5,37,124,0.722647781
1,0.536569928,-0.252322467,1,0.269777883,1,5,48,160,0.788892395
1,0.880327254,-0.000264504,0,0.259841972,1,5,24,217,0.880591758
1,0.516089848,-0.191023714,1,0.219270114,1,5,77,170,0.707113562
0,0.658726551,-0.201562506,1,0,1,5,9,38,0.860289057
1,0.630858149,-0.238102574,1,0.198310043,1,5,27,133,0.868960723
1,0.592542498,-0.252194789,1,0.23086503,1,5,12,85,0.844737287
1,0.55007523,-0.290260905,1,0.29416253,1,5,25,79,0.840336134
1,0.662412551,-0.187205121,1,0.13147058,1,5,4,50,0.849617672
1,0.660593025,-0.179178557,1,0.121679717,1,5,33,113,0.839771582
1,0.52267711,-0.045375606,0,0,1,5,44,63,0.568052715
0,0.552391239,-0.046841742,1,0,1,5,54,98,0.599232982
0,0.649590455,-0.072326958,1,0,1,5,18,68,0.721917413
1,0.609757568,-0.108736469,1,0.049275942,1,5,84,208,0.718494036
0,0.571832565,-0.026611481,1,0,1,5,97,172,0.598444045
0,0.513795957,-0.060916686,0,0.015406494,1,5,52,88,0.574712644
1,0.621269209,0.065898777,1,0.269968692,1,5,59,92,0.555370432
1,0.741404429,-0.009346322,0,0.095638469,1,5,100,618,0.750750751
1,0.968147395,-0.024506963,1,0,1,5,1,107,0.992654358
1,0.79660187,-0.165862038,1,0.101298195,1,5,13,64,0.962463908
1,0.650819001,-0.236335009,1,0.195077568,1,5,22,83,0.88715401
1,0.855677204,-0.089681087,1,0.007572412,1,5,5,93,0.945358291
1,0.728291564,-0.158862446,1,0.091015236,1,5,23,75,0.88715401
1,0.829929589,-0.117398945,1,0.035861152,1,5,10,149,0.947328534
1,0.908850203,-0.044256926,0,0,1,5,3,81,0.953107129
1,0.719560424,-0.2202892,1,0.1539065,1,5,7,142,0.939849624
1,0.642305678,-0.232125941,1,0.192959864,1,5,28,96,0.874431619
1,0.780019224,-0.001474993,0,0.154040697,1,5,15,69,0.781494217
1,0.587737957,-0.22434585,1,0.210055028,1,5,71,99,0.812083807
1,0.602102898,-0.049702603,0,0,1,5,45,137,0.651805501
1,0.650737966,-0.13990087,1,0.084540161,1,5,16,51,0.790638836
1,0.579207991,-0.180554963,1,0.166616892,1,5,90,104,0.759762954
1,0.623105152,-0.235411332,1,0.201992702,1,5,39,46,0.858516484
1,0.601339917,-0.201872934,1,0.178130883,1,5,53,87,0.803212851
0,0.668083045,-0.125315876,1,0,1,5,30,80,0.793398921
0,0.55426,-0.213435379,1,0,1,5,94,101,0.767695378
0,0.584516879,-0.190797124,1,0,1,5,19,103,0.775314002
1,0.633972178,-0.00878396,0,0.033758955,1,5,32,156,0.642756138
0,0.604953509,-0.273472352,1,0,1,5,60,102,0.878425861
0,0.620846455,-0.002517215,1,0,1,5,108,136,0.62336367
1,0.507888909,-0.128729375,1,0.130494929,1,5,150,216,0.636618284
1,0.60463266,-0.10398412,1,0.04453556,1,5,36,109,0.70861678
1,0.57734,-0.116429946,1,0.075565121,1,5,49,146,0.693769946
1,0.559614328,-0.037186818,0,0,1,5,70,233,0.596801146
1,0.513628149,-0.117605281,1,0.113491966,1,5,72,119,0.63123343
1,0.509069542,-0.202572928,1,0.232484558,1,5,58,61,0.711642471
0,0.517349681,-0.036728333,0,0,1,5,56,62,0.554078014
1,0.78743486,-0.176327669,1,0.104651306,1,5,6,54,0.963762529
1,0.900304658,-0.06067939,1,0,1,5,2,88,0.960984048
1,0.706245029,-0.197423867,1,0.136409178,1,5,4,44,0.903668896
1,0.679422542,-0.203034217,1,0.149072717,1,5,26,170,0.88245676
1,0.609479712,-0.145693223,1,0.111006147,1,5,24,66,0.755172935
1,0.618629267,-0.189386247,1,0.156808199,1,5,27,82,0.808015514
1,0.824731096,-0.098118664,1,0.010589834,1,5,38,172,0.92284976
1,0.674546651,-0.097892712,1,0.020717645,1,5,8,37,0.772439364
1,0.73894134,-0.127759995,1,0.047642407,1,5,14,48,0.866701335
0,0.611435324,-0.24708116,1,0,1,5,29,73,0.858516484
1,0.705309419,-0.163953446,1,0.093233064,1,5,25,100,0.869262865
1,0.524890637,-0.076432273,1,0.042243614,1,5,33,92,0.60132291
0,0.568762838,-0.026687918,1,0,1,5,84,86,0.595450756
0,0.507425858,-0.064068027,1,0.029691772,1,5,41,68,0.571493885
1,0.660917856,0.043328923,1,0.17944774,1,5,35,105,0.617588933
0,0.573000778,0.019168257,1,0,1,5,12,43,0.553832521
1,0.884805477,-0.097126966,1,0.033504338,1,5,3,70,0.981932443
1,0.782100391,-0.201377186,1,0.136642431,1,5,13,60,0.983477577
1,0.916768207,-0.07098367,1,0.006499217,1,5,1,36,0.987751877
1,0.799191934,-0.178325172,1,0.109310271,1,5,22,216,0.977517107
1,0.802650705,-0.15337224,1,0.075007506,1,5,10,90,0.956022945
1,0.777085142,-0.130520594,1,0.051651788,1,5,15,101,0.907605736
0,0.560980585,-0.180419178,1,0,1,5,80,119,0.741399763
1,0.678629261,0.054643238,1,0.219981975,1,5,16,58,0.623986023
0,0.570508084,-0.171111613,1,0,1,5,28,49,0.741619697
0,0.689617052,-0.115017644,1,0,1,5,32,62,0.804634696
1,0.756437666,-0.031087929,0,0.013460899,1,5,23,136,0.787525595
1,0.54846491,-0.068742843,1,0.019108349,1,5,46,103,0.617207752
1,0.761637146,-0.101622522,1,0.011495806,1,5,5,53,0.863259669
1,0.722331853,-0.217871231,1,0.154217019,1,5,4,73,0.940203084
1,0.773872741,-0.043387802,0,0,1,5,38,86,0.817260543
1,0.83859374,-0.116151343,1,0.031686212,1,5,2,33,0.954745083
1,0.655166296,-0.144194215,1,0.086776734,1,5,8,35,0.799360512
0,0.655560148,-0.202956335,1,0,1,5,6,27,0.858516484
1,0.63176789,-0.014978974,0,0.016170795,1,5,25,68,0.646746863
1,0.544196129,-0.162517652,1,0.159332936,1,5,14,24,0.706713781
1,0.636114432,0.0979013,1,0.276499543,1,5,26,43,0.538213132
1,0.92513733,-0.064178064,1,0.007676878,1,5,1,49,0.989315394
1,0.882243953,-0.064187998,1,0,1,5,3,62,0.946431952
1,0.676083892,-0.104800068,1,0.035622408,1,5,15,46,0.780883961
1,0.560160537,-0.215273707,1,0.215725861,1,5,13,23,0.775434243
1,0.533013332,-0.091206394,1,0.172941354,1,5,16,22,0.624219725
